device_id,gender_id,app_name,minutes,Publisher
B-52-40736,1.0,Amazon Mobile (Mobile App),130.599,Amazon Sites
B-52-51015,1.0,Amazon Mobile (Mobile App),130.977,Amazon Sites
B-52-49875,2.0,Amazon Mobile (Mobile App),131.1282,Amazon Sites
B-52-17784,2.0,Amazon Mobile (Mobile App),132.3,Amazon Sites
B-52-23066,2.0,Amazon Mobile (Mobile App),133.4718,Amazon Sites
B-52-45657,1.0,Amazon Mobile (Mobile App),133.4718,Amazon Sites
B-52-36670,1.0,Amazon Mobile (Mobile App),133.5474,Amazon Sites
B-52-40869,1.0,Amazon Mobile (Mobile App),133.8876,Amazon Sites
B-52-34694,2.0,Amazon Mobile (Mobile App),134.19,Amazon Sites
B-52-40793,1.0,Amazon Mobile (Mobile App),134.2656,Amazon Sites
B-52-12369,2.0,Amazon Mobile (Mobile App),134.56799999999998,Amazon Sites
B-52-16359,1.0,Amazon Mobile (Mobile App),134.7192,Amazon Sites
B-52-4693,2.0,Amazon Mobile (Mobile App),134.8326,Amazon Sites
B-52-18297,2.0,Amazon Mobile (Mobile App),135.0594,Amazon Sites
B-52-11343,2.0,Amazon Mobile (Mobile App),135.3996,Amazon Sites
B-52-20216,2.0,Amazon Mobile (Mobile App),136.08,Amazon Sites
B-52-21052,2.0,Amazon Mobile (Mobile App),136.269,Amazon Sites
B-52-43529,2.0,Amazon Mobile (Mobile App),136.4958,Amazon Sites
B-52-285,1.0,Amazon Mobile (Mobile App),136.5714,Amazon Sites
B-52-13262,2.0,Amazon Mobile (Mobile App),136.7226,Amazon Sites
B-52-29260,2.0,Amazon Mobile (Mobile App),136.836,Amazon Sites
B-52-5890,1.0,Amazon Mobile (Mobile App),136.8738,Amazon Sites
B-52-26980,2.0,Amazon Mobile (Mobile App),136.9116,Amazon Sites
B-52-44745,1.0,Amazon Mobile (Mobile App),137.1762,Amazon Sites
B-52-41952,1.0,Amazon Mobile (Mobile App),137.2896,Amazon Sites
B-52-5472,2.0,Amazon Mobile (Mobile App),137.6298,Amazon Sites
B-52-34257,2.0,Amazon Mobile (Mobile App),137.7432,Amazon Sites
B-52-44802,1.0,Amazon Mobile (Mobile App),1371.9132,Amazon Sites
B-52-47424,2.0,Amazon Mobile (Mobile App),138.6126,Amazon Sites
B-52-47234,1.0,Amazon Mobile (Mobile App),139.7088,Amazon Sites
B-52-25916,2.0,Amazon Mobile (Mobile App),139.86,Amazon Sites
B-52-33592,2.0,Amazon Mobile (Mobile App),14.2128,Amazon Sites
B-52-7334,2.0,Amazon Mobile (Mobile App),14.4018,Amazon Sites
B-52-13528,2.0,Amazon Mobile (Mobile App),14.4396,Amazon Sites
